[REPORT 20110520]
SUMMARY
	MOBI: 332   (309+23)
	MAIL: 63   (55+8)
	SINA: 116
	RENN: 0
	SNDA: 11
	SUMM: 522
DETAILS
TIME;SINA;RENN;SNDA;MOBI;MAIL;SUMM
 H00;   5;   0;   0;  12;   2;  19
 H01;   5;   0;   1;  11;   2;  19
 H02;   2;   0;   0;   5;   0;   7
 H03;   1;   0;   0;   2;   0;   3
 H04;   1;   0;   0;   5;   0;   6
 H05;   1;   0;   0;   1;   0;   2
 H06;   0;   0;   0;   3;   0;   3
 H07;   4;   0;   0;  12;   1;  17
 H08;   2;   0;   1;   6;   0;   9
 H09;   9;   0;   1;   6;   3;  19
 H10;   4;   0;   1;  15;   7;  27
 H11;   7;   0;   0;  31;   6;  44
 H12;   3;   0;   0;  17;   2;  22
 H13;   6;   0;   2;  21;   6;  35
 H14;   9;   0;   0;  13;   3;  25
 H15;   4;   0;   2;  15;   8;  29
 H16;   8;   0;   0;  17;   6;  31
 H17;   9;   0;   0;  11;   1;  21
 H18;   3;   0;   1;  14;   3;  21
 H19;   3;   0;   0;  10;   3;  16
 H20;   6;   0;   0;  22;   1;  29
 H21;  10;   0;   0;  26;   3;  39
 H22;   8;   0;   1;  25;   2;  36
 H23;   6;   0;   1;  32;   4;  43
